wavelength_um,radius_arcsec
1.0546166,0.45
1.0569125,0.45
1.0592086,0.45
1.0615047,0.45
1.0638007,0.45
1.0660968,0.45
1.0683928,0.45
1.0706888,0.45
1.0729849,0.45
1.0752809,0.45
1.077577,0.45
1.0798731,0.45
1.082169,0.45
1.0844651,0.45
1.0867611,0.45
1.0890572,0.45
1.0913533,0.45
1.0936493,0.45
1.0959454,0.45
1.0982413,0.45
1.1005374,0.45
1.1028335,0.45
1.1051295,0.45
1.1074256,0.45
1.1097215,0.45
1.1120176,0.45
1.1143137,0.45
1.1166097,0.45
1.1189058,0.45
1.1212018,0.45
1.1234978,0.45
1.1257939,0.45
1.1280899,0.45
1.130386,0.45
1.132682,0.45
1.134978,0.45
1.1372741,0.45
1.1395701,0.45
1.1418662,0.45
1.1441622,0.45
1.1464583,0.45
1.1487544,0.45
1.1510503,0.45
1.1533464,0.45
1.1556424,0.45
1.1579385,0.45
1.1602346,0.45
1.1625305,0.45
1.1648266,0.45
1.1671227,0.45
1.1694187,0.45
1.1717148,0.45
1.1740108,0.45
1.1763068,0.45
1.1786029,0.45
1.1808989,0.45
1.183195,0.45
1.185491,0.45
1.187787,0.45
1.1900831,0.45
1.1923791,0.45
1.1946752,0.45
1.1969712,0.45
1.1992673,0.45
1.2015634,0.45
1.2038593,0.45
1.2061554,0.45
1.2084514,0.45
1.2107475,0.45
1.2130436,0.45
1.2153395,0.45
1.2176356,0.45
1.2199316,0.45
1.2222277,0.45
1.2245238,0.45
1.2268198,0.45
1.2291158,0.45
1.2314118,0.45
1.2337079,0.45
1.236004,0.45
1.2383,0.45
1.240596,0.45
1.242892,0.45
1.2451881,0.45
1.2474842,0.45
1.2497802,0.45
1.2520763,0.45
1.2543724,0.45
1.2566683,0.45
1.2589644,0.45
1.2612604,0.45
1.2635565,0.45
1.2658526,0.45
1.2681485,0.45
1.2704446,0.45
1.2727406,0.45
1.2750367,0.45
1.2773328,0.45
1.2796288,0.45
1.2819248,0.45
1.2842208,0.45
1.2865169,0.45
1.288813,0.45
1.291109,0.45
1.293405,0.45
1.295701,0.45
1.2979971,0.45
1.3002932,0.45
1.3025892,0.45
1.3048853,0.45
1.3071812,0.45
1.3094773,0.45
1.3117734,0.45
1.3140694,0.45
1.3163655,0.45
1.3186615,0.45
1.3209575,0.45
1.3232536,0.45
1.3255496,0.45
1.3278457,0.45
1.3301417,0.45
1.3324378,0.45
1.3347338,0.45
1.3370298,0.45
1.3393259,0.45
1.341622,0.45
1.343918,0.45
1.346214,0.45
1.34851,0.45
1.3508061,0.45
1.3531022,0.45
1.3553982,0.45
1.3576943,0.45
1.3599902,0.45
1.3622863,0.45
1.3645824,0.45
1.3668784,0.45
1.3691745,0.45
1.3714705,0.45
1.3737665,0.45
1.3760626,0.45
1.3783586,0.45
1.3806547,0.45
1.3829507,0.45
1.3852468,0.45
1.3875428,0.45
1.3898388,0.45
1.3921349,0.45
1.3944309,0.45
1.396727,0.45
1.399023,0.45
1.401319,0.45
1.4036151,0.45
1.4059111,0.45
1.4082072,0.45
1.4105033,0.45
1.4127992,0.45
1.4150953,0.45
1.4173913,0.45
1.4196874,0.45
1.4219835,0.45
1.4242795,0.45
1.4265755,0.45
1.4288716,0.45
1.4311676,0.45
1.4334637,0.45
1.4357597,0.45
1.4380558,0.45
1.4403518,0.45
1.4426478,0.45
1.4449439,0.45
1.4472399,0.45
1.449536,0.45
1.451832,0.45
1.454128,0.45
1.4564241,0.45
1.4587201,0.45
1.4610162,0.45
1.4633123,0.45
1.4656082,0.45
1.4679043,0.45
1.4702003,0.45
1.4724964,0.45
1.4747925,0.45
1.4770885,0.45
1.4793845,0.45
1.4816805,0.45
1.4839766,0.45
1.4862727,0.45
1.4885687,0.45
1.4908648,0.45
1.4931607,0.45
1.4954568,0.45
1.4977529,0.45
1.5000489,0.45
1.502345,0.45
1.5046409,0.45
1.506937,0.45
1.5092331,0.45
1.5115291,0.45
1.5138252,0.45
1.5161213,0.45
1.5184172,0.45
1.5207133,0.45
1.5230093,0.45
1.5253054,0.45
1.5276015,0.45
1.5298975,0.45
1.5321935,0.45
1.5344895,0.45
1.5367856,0.45
1.5390817,0.45
1.5413777,0.45
1.5436738,0.45
1.5459697,0.45
1.5482658,0.45
1.5505619,0.45
1.5528579,0.45
1.555154,0.45
1.5574499,0.45
1.559746,0.45
1.5620421,0.45
1.5643381,0.45
1.5666342,0.45
1.5689301,0.45
1.5712262,0.45
1.5735223,0.45
1.5758183,0.45
1.5781144,0.45
1.5804104,0.45
1.5827065,0.45
1.5850025,0.45
1.5872985,0.45
1.5895946,0.45
1.5918906,0.45
1.5941867,0.45
1.5964828,0.45
1.5987787,0.45
1.6010748,0.45
1.6033709,0.45
1.6056669,0.45
1.607963,0.45
1.6102589,0.45
1.612555,0.45
1.6148511,0.45
1.6171471,0.45
1.6194432,0.45
1.6217391,0.45
1.6240352,0.45
1.6263313,0.45
1.6286273,0.45
1.6309234,0.45
1.6332194,0.45
1.6355155,0.45
1.6378115,0.45
1.6401075,0.45
1.6424036,0.45
1.6446996,0.45
1.6469957,0.45
1.6492918,0.45
1.6515877,0.45
1.6538838,0.45
1.6561798,0.45
1.6584759,0.45
1.660772,0.45
1.6630679,0.45
1.665364,0.45
1.66766,0.45
1.6699561,0.45
1.6722522,0.45
1.6745481,0.45
1.6768442,0.45
1.6791402,0.45
1.6814363,0.45
1.6837324,0.45
1.6860284,0.45
1.6883245,0.45
1.6906205,0.45
1.6929165,0.45
1.6952126,0.45
1.6975086,0.45
1.6998047,0.45
1.7021008,0.45
1.7043967,0.45
1.7066928,0.45
1.7089888,0.45
1.7112849,0.45
1.713581,0.45
1.7158769,0.45
1.718173,0.45
1.720469,0.45
1.7227651,0.45
1.7250612,0.45
1.7273571,0.45
1.7296532,0.45
1.7319492,0.45
1.7342453,0.45
1.7365414,0.45
1.7388374,0.45
1.7411335,0.45
1.7434294,0.45
1.7457255,0.45
1.7480216,0.45
1.7503176,0.45
1.7526137,0.45
1.7549096,0.45
1.7572057,0.45
1.7595018,0.45
1.7617978,0.45
1.7640939,0.45
1.7663898,0.45
1.7686859,0.45
1.770982,0.45
1.773278,0.45
1.7755741,0.45
1.7778702,0.45
1.7801661,0.45
1.7824622,0.45
1.7847582,0.45
1.7870543,0.45
1.7893504,0.45
1.7916464,0.45
1.7939425,0.45
1.7962384,0.45
1.7985345,0.45
1.8008306,0.45
1.8031266,0.45
1.8054227,0.45
1.8077186,0.45
1.8100147,0.45
1.8123108,0.45
1.8146068,0.45
1.8169029,0.45
1.8191988,0.45
1.8214949,0.45
1.823791,0.45
1.826087,0.45
1.8283831,0.45
1.830679,0.45
1.8329751,0.45
1.8352712,0.45
1.8375672,0.45
1.8398633,0.45
1.8421593,0.45
1.8444554,0.45
1.8467515,0.45
1.8490474,0.45
1.8513435,0.45
1.8536395,0.45
1.8559356,0.45
1.8582317,0.45
1.8605276,0.45
1.8628237,0.45
1.8651198,0.45
1.8674158,0.45
1.8697119,0.45
1.8720078,0.45
1.8743039,0.45
1.8766,0.45
1.878896,0.45
1.8811921,0.45
1.883488,0.45
1.8857841,0.45
1.8880802,0.45
1.8903762,0.45
1.8926723,0.45
1.8949683,0.45
1.8972644,0.45
1.8995605,0.45
1.9018564,0.45
1.9041525,0.45
1.9064485,0.45
1.9087446,0.45
1.9110407,0.45
1.9133366,0.45
1.9156327,0.45
1.9179287,0.45
1.9202248,0.45
1.9225209,0.45
1.9248168,0.45
1.9271129,0.45
1.9294089,0.45
1.931705,0.45
